14-05-26,00:00:06,2.646685e+02
14-05-26,00:00:36,2.646685e+02
14-05-26,00:01:06,2.647293e+02
14-05-26,00:01:36,2.647293e+02
14-05-26,00:02:06,2.647293e+02
14-05-26,00:02:36,2.647901e+02
14-05-26,00:03:06,2.647901e+02
14-05-26,00:03:36,2.647901e+02
14-05-26,00:04:06,2.648660e+02
14-05-26,00:04:36,2.648660e+02
14-05-26,00:05:06,2.648660e+02
14-05-26,00:05:36,2.649268e+02
14-05-26,00:06:06,2.649268e+02
14-05-26,00:06:36,2.649876e+02
14-05-26,00:07:06,2.649876e+02
14-05-26,00:07:36,2.649876e+02
14-05-26,00:08:06,2.650331e+02
14-05-26,00:08:36,2.650331e+02
14-05-26,00:09:06,2.650331e+02
14-05-26,00:09:36,2.651547e+02
14-05-26,00:10:06,2.651547e+02
14-05-26,00:10:36,2.651547e+02
14-05-26,00:11:06,2.651395e+02
14-05-26,00:11:36,2.651395e+02
14-05-26,00:12:06,2.651395e+02
14-05-26,00:12:36,2.652914e+02
14-05-26,00:13:06,2.652914e+02
14-05-26,00:13:36,2.652914e+02
14-05-26,00:14:06,2.653522e+02
14-05-26,00:14:36,2.653522e+02
14-05-26,00:15:06,2.653522e+02
14-05-26,00:15:36,2.653978e+02
14-05-26,00:16:06,2.653978e+02
14-05-26,00:16:36,2.655041e+02
14-05-26,00:17:06,2.655041e+02
14-05-26,00:17:36,2.655041e+02
14-05-26,00:18:06,2.655041e+02
14-05-26,00:18:36,2.655041e+02
14-05-26,00:19:06,2.655041e+02
14-05-26,00:19:36,2.656105e+02
14-05-26,00:20:06,2.656105e+02
14-05-26,00:20:36,2.656105e+02
14-05-26,00:21:06,2.656561e+02
14-05-26,00:21:36,2.656561e+02
14-05-26,00:22:06,2.656561e+02
14-05-26,00:22:36,2.657017e+02
14-05-26,00:23:06,2.657017e+02
14-05-26,00:23:36,2.657017e+02
14-05-26,00:24:06,2.657776e+02
14-05-26,00:24:36,2.657776e+02
14-05-26,00:25:06,2.657776e+02
14-05-26,00:25:36,2.658840e+02
14-05-26,00:26:06,2.658840e+02
14-05-26,00:26:36,2.659296e+02
14-05-26,00:27:06,2.659296e+02
14-05-26,00:27:36,2.659296e+02
14-05-26,00:28:06,2.659903e+02
14-05-26,00:28:36,2.659903e+02
14-05-26,00:29:06,2.659903e+02
14-05-26,00:29:36,2.660359e+02
14-05-26,00:30:06,2.660359e+02
14-05-26,00:30:36,2.660359e+02
14-05-26,00:31:06,2.660967e+02
14-05-26,00:31:36,2.660967e+02
14-05-26,00:32:06,2.660967e+02
14-05-26,00:32:36,2.661727e+02
14-05-26,00:33:06,2.661727e+02
14-05-26,00:33:36,2.661727e+02
14-05-26,00:34:06,2.662334e+02
14-05-26,00:34:36,2.662334e+02
14-05-26,00:35:06,2.662334e+02
14-05-26,00:35:36,2.663246e+02
14-05-26,00:36:06,2.663246e+02
14-05-26,00:36:36,2.663398e+02
14-05-26,00:37:06,2.663398e+02
14-05-26,00:37:36,2.663398e+02
14-05-26,00:38:06,2.664006e+02
14-05-26,00:38:36,2.664006e+02
14-05-26,00:39:06,2.664006e+02
14-05-26,00:39:36,2.664765e+02
14-05-26,00:40:06,2.664765e+02
14-05-26,00:40:36,2.664765e+02
14-05-26,00:41:06,2.665525e+02
14-05-26,00:41:36,2.665525e+02
14-05-26,00:42:06,2.665525e+02
14-05-26,00:42:36,2.666285e+02
14-05-26,00:43:06,2.666285e+02
14-05-26,00:43:36,2.666285e+02
14-05-26,00:44:06,2.666740e+02
14-05-26,00:44:36,2.666740e+02
14-05-26,00:45:06,2.666740e+02
14-05-26,00:45:36,2.667500e+02
14-05-26,00:46:06,2.667500e+02
14-05-26,00:46:36,2.668108e+02
14-05-26,00:47:06,2.668108e+02
14-05-26,00:47:36,2.668108e+02
14-05-26,00:48:06,2.668564e+02
14-05-26,00:48:36,2.668564e+02
14-05-26,00:49:06,2.668564e+02
14-05-26,00:49:36,2.669019e+02
14-05-26,00:50:06,2.669019e+02
14-05-26,00:50:36,2.669019e+02
14-05-26,00:51:06,2.669627e+02
14-05-26,00:51:36,2.669627e+02
14-05-26,00:52:06,2.669627e+02
14-05-26,00:52:36,2.670387e+02
14-05-26,00:53:06,2.670387e+02
14-05-26,00:53:36,2.670387e+02
14-05-26,00:54:06,2.670539e+02
14-05-26,00:54:36,2.670539e+02
14-05-26,00:55:06,2.670539e+02
14-05-26,00:55:36,2.671602e+02
14-05-26,00:56:06,2.671602e+02
14-05-26,00:56:36,2.672058e+02
14-05-26,00:57:06,2.672058e+02
14-05-26,00:57:36,2.672058e+02
14-05-26,00:58:06,2.672818e+02
14-05-26,00:58:36,2.672818e+02
14-05-26,00:59:06,2.672818e+02
14-05-26,00:59:36,2.673425e+02
14-05-26,01:00:06,2.673425e+02
14-05-26,01:00:36,2.673425e+02
14-05-26,01:01:06,2.673881e+02
14-05-26,01:01:36,2.673881e+02
14-05-26,01:02:06,2.673881e+02
14-05-26,01:02:36,2.674489e+02
14-05-26,01:03:06,2.674489e+02
14-05-26,01:03:36,2.674489e+02
14-05-26,01:04:06,2.675097e+02
14-05-26,01:04:36,2.675097e+02
14-05-26,01:05:06,2.675856e+02
14-05-26,01:05:36,2.675856e+02
14-05-26,01:06:06,2.675856e+02
14-05-26,01:06:36,2.676008e+02
14-05-26,01:07:06,2.676008e+02
14-05-26,01:07:36,2.676008e+02
14-05-26,01:08:06,2.676768e+02
14-05-26,01:08:36,2.676768e+02
14-05-26,01:09:06,2.676768e+02
14-05-26,01:09:36,2.677528e+02
14-05-26,01:10:06,2.677528e+02
14-05-26,01:10:36,2.677528e+02
14-05-26,01:11:06,2.677983e+02
14-05-26,01:11:36,2.677983e+02
14-05-26,01:12:06,2.677983e+02
14-05-26,01:12:36,2.678895e+02
14-05-26,01:13:06,2.678895e+02
14-05-26,01:13:36,2.678895e+02
14-05-26,01:14:06,2.679199e+02
14-05-26,01:14:36,2.679199e+02
14-05-26,01:15:06,2.679807e+02
14-05-26,01:15:36,2.679807e+02
14-05-26,01:16:06,2.679807e+02
14-05-26,01:16:36,2.680566e+02
14-05-26,01:17:06,2.680566e+02
14-05-26,01:17:36,2.680566e+02
14-05-26,01:18:06,2.680870e+02
14-05-26,01:18:36,2.680870e+02
14-05-26,01:19:06,2.680870e+02
14-05-26,01:19:36,2.681630e+02
14-05-26,01:20:06,2.681630e+02
14-05-26,01:20:36,2.681630e+02
14-05-26,01:21:06,2.682086e+02
14-05-26,01:21:36,2.682086e+02
14-05-26,01:22:06,2.682086e+02
14-05-26,01:22:36,2.682693e+02
14-05-26,01:23:06,2.682693e+02
14-05-26,01:23:36,2.682693e+02
14-05-26,01:24:06,2.683301e+02
14-05-26,01:24:36,2.683301e+02
14-05-26,01:25:06,2.683757e+02
14-05-26,01:25:36,2.683757e+02
14-05-26,01:26:06,2.683757e+02
14-05-26,01:26:36,2.684365e+02
14-05-26,01:27:06,2.684365e+02
14-05-26,01:27:36,2.684365e+02
14-05-26,01:28:06,2.685124e+02
14-05-26,01:28:36,2.685124e+02
14-05-26,01:29:06,2.685124e+02
14-05-26,01:29:36,2.685580e+02
14-05-26,01:30:06,2.685580e+02
14-05-26,01:30:36,2.685580e+02
14-05-26,01:31:06,2.686036e+02
14-05-26,01:31:36,2.686036e+02
14-05-26,01:32:06,2.686036e+02
14-05-26,01:32:36,2.686340e+02
14-05-26,01:33:06,2.686340e+02
14-05-26,01:33:36,2.686340e+02
14-05-26,01:34:06,2.687099e+02
14-05-26,01:34:36,2.687099e+02
14-05-26,01:35:06,2.688011e+02
14-05-26,01:35:36,2.688011e+02
14-05-26,01:36:06,2.688011e+02
14-05-26,01:36:36,2.688315e+02
14-05-26,01:37:06,2.688315e+02
14-05-26,01:37:36,2.688315e+02
14-05-26,01:38:06,2.688771e+02
14-05-26,01:38:36,2.688771e+02
14-05-26,01:39:06,2.688771e+02
14-05-26,01:39:36,2.689378e+02
14-05-26,01:40:06,2.689378e+02
14-05-26,01:40:36,2.689378e+02
14-05-26,01:41:06,2.689834e+02
14-05-26,01:41:36,2.689834e+02
14-05-26,01:42:06,2.689834e+02
14-05-26,01:42:36,2.690442e+02
14-05-26,01:43:06,2.690442e+02
14-05-26,01:43:36,2.690442e+02
14-05-26,01:44:06,2.691202e+02
14-05-26,01:44:36,2.691202e+02
14-05-26,01:45:06,2.691506e+02
14-05-26,01:45:36,2.691506e+02
14-05-26,01:46:06,2.691506e+02
14-05-26,01:46:36,2.691961e+02
14-05-26,01:47:06,2.691961e+02
14-05-26,01:47:36,2.691961e+02
14-05-26,01:48:06,2.692721e+02
14-05-26,01:48:36,2.692721e+02
14-05-26,01:49:06,2.692721e+02
14-05-26,01:49:36,2.693177e+02
14-05-26,01:50:06,2.693177e+02
14-05-26,01:50:36,2.693177e+02
14-05-26,01:51:06,2.693785e+02
14-05-26,01:51:36,2.693785e+02
14-05-26,01:52:06,2.693785e+02
14-05-26,01:52:36,2.694240e+02
14-05-26,01:53:06,2.694240e+02
14-05-26,01:53:36,2.694240e+02
14-05-26,01:54:06,2.694696e+02
14-05-26,01:54:36,2.694696e+02
14-05-26,01:55:06,2.695313e+02
14-05-26,01:55:36,2.695313e+02
14-05-26,01:56:06,2.695313e+02
14-05-26,01:56:36,2.695783e+02
14-05-26,01:57:06,2.695783e+02
14-05-26,01:57:36,2.695783e+02
14-05-26,01:58:06,2.696410e+02
14-05-26,01:58:36,2.696410e+02
14-05-26,01:59:06,2.696410e+02
14-05-26,01:59:36,2.696880e+02
14-05-26,02:00:06,2.696880e+02
14-05-26,02:00:36,2.696880e+02
14-05-26,02:01:06,2.697507e+02
14-05-26,02:01:36,2.697507e+02
14-05-26,02:02:06,2.697507e+02
14-05-26,02:02:36,2.697977e+02
14-05-26,02:03:06,2.697977e+02
14-05-26,02:03:36,2.698604e+02
14-05-26,02:04:06,2.698604e+02
14-05-26,02:04:36,2.698604e+02
14-05-26,02:05:06,2.698761e+02
14-05-26,02:05:36,2.698761e+02
14-05-26,02:06:06,2.698761e+02
14-05-26,02:06:36,2.699544e+02
14-05-26,02:07:06,2.699544e+02
14-05-26,02:07:36,2.699544e+02
14-05-26,02:08:06,2.700641e+02
14-05-26,02:08:36,2.700641e+02
14-05-26,02:09:06,2.700641e+02
14-05-26,02:09:36,2.700641e+02
14-05-26,02:10:06,2.700641e+02
14-05-26,02:10:36,2.700641e+02
14-05-26,02:11:06,2.701268e+02
14-05-26,02:11:36,2.701268e+02
14-05-26,02:12:06,2.701268e+02
14-05-26,02:12:36,2.701581e+02
14-05-26,02:13:06,2.701581e+02
14-05-26,02:13:36,2.702208e+02
14-05-26,02:14:06,2.702208e+02
14-05-26,02:14:36,2.702208e+02
14-05-26,02:15:06,2.702678e+02
14-05-26,02:15:36,2.702678e+02
