10-05-26,00:00:26,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.29e-02,0,1,CH3,        ,1,4.66e+02,0,1,CH4,        ,1,4.94e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.81e-01,0,1,
10-05-26,00:00:56,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.66e+02,0,1,CH4,        ,1,4.94e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:01:26,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.66e+02,0,1,CH4,        ,1,4.93e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:01:56,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.65e+02,0,1,CH4,        ,1,4.93e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:02:26,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.64e+02,0,1,CH4,        ,1,4.93e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:02:56,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.65e+02,0,1,CH4,        ,1,4.92e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:03:26,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.65e+02,0,1,CH4,        ,1,4.92e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.82e-01,0,1,
10-05-26,00:03:56,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.64e+02,0,1,CH4,        ,1,4.91e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:04:26,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.28e-02,0,1,CH3,        ,1,4.63e+02,0,1,CH4,        ,1,4.91e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:04:56,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.27e-02,0,1,CH3,        ,1,4.63e+02,0,1,CH4,        ,1,4.90e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:05:26,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.27e-02,0,1,CH3,        ,1,4.63e+02,0,1,CH4,        ,1,4.90e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:05:56,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.27e-02,0,1,CH3,        ,1,4.62e+02,0,1,CH4,        ,1,4.89e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:06:26,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.26e-02,0,1,CH3,        ,1,4.61e+02,0,1,CH4,        ,1,4.89e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.83e-01,0,1,
10-05-26,00:06:56,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.26e-02,0,1,CH3,        ,1,4.62e+02,0,1,CH4,        ,1,4.88e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:07:26,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.26e-02,0,1,CH3,        ,1,4.61e+02,0,1,CH4,        ,1,4.88e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:07:56,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.26e-02,0,1,CH3,        ,1,4.60e+02,0,1,CH4,        ,1,4.87e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:08:26,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.26e-02,0,1,CH3,        ,1,4.60e+02,0,1,CH4,        ,1,4.87e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:08:56,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.25e-02,0,1,CH3,        ,1,4.59e+02,0,1,CH4,        ,1,4.86e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:09:26,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.25e-02,0,1,CH3,        ,1,4.59e+02,0,1,CH4,        ,1,4.86e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.84e-01,0,1,
10-05-26,00:09:56,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.25e-02,0,1,CH3,        ,1,4.59e+02,0,1,CH4,        ,1,4.85e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:10:26,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.25e-02,0,1,CH3,        ,1,4.58e+02,0,1,CH4,        ,1,4.85e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:10:56,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.25e-02,0,1,CH3,        ,1,4.57e+02,0,1,CH4,        ,1,4.84e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:11:26,CH1,        ,1,6.13e-06,0,1,CH2,        ,1,1.24e-02,0,1,CH3,        ,1,4.57e+02,0,1,CH4,        ,1,4.84e+02,0,1,CH5,        ,1,5.19e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:11:56,CH1,        ,1,6.12e-06,0,1,CH2,        ,1,1.24e-02,0,1,CH3,        ,1,4.56e+02,0,1,CH4,        ,1,4.83e+02,0,1,CH5,        ,1,5.19e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:12:26,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.24e-02,0,1,CH3,        ,1,4.56e+02,0,1,CH4,        ,1,4.83e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.85e-01,0,1,
10-05-26,00:12:56,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.55e+02,0,1,CH4,        ,1,4.82e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.86e-01,0,1,
10-05-26,00:13:26,CH1,        ,1,6.11e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.55e+02,0,1,CH4,        ,1,4.82e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.86e-01,0,1,
10-05-26,00:13:56,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.55e+02,0,1,CH4,        ,1,4.81e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.86e-01,0,1,
10-05-26,00:14:26,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.53e+02,0,1,CH4,        ,1,4.81e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.86e-01,0,1,
10-05-26,00:14:56,CH1,        ,1,6.09e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.53e+02,0,1,CH4,        ,1,4.80e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.86e-01,0,1,
10-05-26,00:15:26,CH1,        ,1,6.10e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.53e+02,0,1,CH4,        ,1,4.79e+02,0,1,CH5,        ,1,5.17e+00,0,1,CH6,        ,1,1.87e-01,0,1,
10-05-26,00:15:56,CH1,        ,1,6.09e-06,0,1,CH2,        ,1,1.23e-02,0,1,CH3,        ,1,4.52e+02,0,1,CH4,        ,1,4.79e+02,0,1,CH5,        ,1,5.18e+00,0,1,CH6,        ,1,1.87e-01,0,1,
